Fecha,Producto,Categoria,Sucursal,Cantidad,PrecioUnitario,CostoUnitario
2019-01-01,Silla Gamer,Muebles,Antofagasta,3,97050,60171
2019-01-01,Silla Gamer,Muebles,La Serena,3,81741,64901
2019-01-01,Jeans Slim,Ropa,Valparaíso,1,17205,12428
2019-01-01,Pañales XL,Bebés,Santiago,3,45790,28751
2019-01-01,Chaqueta Invierno,Ropa,Concepción,3,19399,13451
2019-01-01,Silla Comer,Bebés,Antofagasta,1,37041,29254
2019-01-01,Jeans Slim,Ropa,Valparaíso,2,15328,9496
2019-01-01,Chaqueta Invierno,Ropa,La Serena,3,17160,13156
2019-01-01,Escritorio Pro,Muebles,Santiago,2,104851,69447
2019-01-01,Balón Fútbol,Deportes,Valparaíso,2,54752,42074
2019-01-01,Jeans Slim,Ropa,Valparaíso,2,19060,14208
2019-01-01,Zapatillas Run,Deportes,La Serena,1,77068,59258
2019-01-01,Coche Bebé,Bebés,Antofagasta,2,51444,37112
2019-01-02,Pañales XL,Bebés,Santiago,3,42774,29043
2019-01-02,Mesa Centro,Muebles,Santiago,3,109446,78932
2019-01-02,Lavadora L,Electrohogar,Valparaíso,1,189898,146223
2019-01-02,Jeans Slim,Ropa,Santiago,3,15366,10219
2019-01-02,Escritorio Pro,Muebles,Concepción,3,98000,61144
2019-01-02,Zapatillas Run,Deportes,Santiago,1,67471,50886
2019-01-02,Silla Gamer,Muebles,Valparaíso,2,96816,61996
2019-01-02,Smartphone Z,Tecnología,Antofagasta,2,286720,206692
2019-01-02,Silla Gamer,Muebles,La Serena,1,83771,55117
2019-01-02,Balón Fútbol,Deportes,Valparaíso,1,61095,37946
2019-01-02,Jeans Slim,Ropa,Concepción,2,14233,9554
2019-01-02,Bicicleta MTB,Deportes,Santiago,1,69545,41734
2019-01-03,Zapatillas Run,Deportes,Santiago,2,59331,37021
2019-01-03,Chaqueta Invierno,Ropa,Concepción,2,14813,10541
2019-01-03,Polera Básica,Ropa,Santiago,2,19275,12535
2019-01-03,Lavadora L,Electrohogar,Santiago,1,152090,92376
2019-01-03,Notebook B,Tecnología,Valparaíso,2,273966,183287
2019-01-03,Tablet X,Tecnología,Valparaíso,1,328734,262044
2019-01-03,Chaqueta Invierno,Ropa,Concepción,3,14953,11374
2019-01-03,Coche Bebé,Bebés,Concepción,3,37445,28722
2019-01-03,Chaqueta Invierno,Ropa,Antofagasta,3,17045,12537
2019-01-03,Escritorio Pro,Muebles,Concepción,3,89154,64996
2019-01-03,Polera Básica,Ropa,Santiago,3,19120,11998
2019-01-03,Polera Básica,Ropa,Santiago,2,19048,14771
2019-01-03,Mesa Centro,Muebles,La Serena,2,116358,81838
2019-01-04,Tablet X,Tecnología,Concepción,3,372759,253812
2019-01-04,Smartphone Z,Tecnología,La Serena,3,382276,289409
2019-01-04,Jeans Slim,Ropa,Concepción,2,19141,15212
2019-01-04,Microondas M,Electrohogar,Valparaíso,2,176514,128924
2019-01-04,Smartphone Z,Tecnología,Santiago,1,329267,209336
2019-01-04,Silla Gamer,Muebles,Santiago,3,94238,61541
2019-01-04,Balón Fútbol,Deportes,Antofagasta,3,75409,54764
2019-01-04,Refrigerador Y,Electrohogar,Santiago,3,164551,105156
2019-01-04,Silla Comer,Bebés,La Serena,3,48297,29399
2019-01-04,Jeans Slim,Ropa,Antofagasta,2,18989,12799
2019-01-04,Notebook A,Tecnología,Antofagasta,1,336332,240295
2019-01-04,Polera Básica,Ropa,La Serena,3,15334,9786
2019-01-04,Smartphone Z,Tecnología,Concepción,2,336816,265152
2019-01-04,Lavadora L,Electrohogar,Valparaíso,3,194403,122088
2019-01-04,Escritorio Pro,Muebles,Valparaíso,2,107668,79610
2019-01-04,Escritorio Pro,Muebles,Antofagasta,2,110137,83927
2019-01-04,Smartphone Z,Tecnología,Antofagasta,2,270622,196358
2019-01-04,Polera Básica,Ropa,La Serena,3,15528,10483
2019-01-04,Lavadora L,Electrohogar,Concepción,1,144302,114918
2019-01-04,Balón Fútbol,Deportes,Valparaíso,2,60006,36470
2019-01-05,Pañales XL,Bebés,Antofagasta,1,43316,33284
2019-01-05,Jeans Slim,Ropa,Concepción,3,14330,8979
2019-01-05,Microondas M,Electrohogar,Concepción,1,158929,109137
2019-01-05,Lavadora L,Electrohogar,Valparaíso,1,146060,89998
2019-01-05,Smartphone Z,Tecnología,Antofagasta,1,290795,183575
2019-01-05,Microondas M,Electrohogar,Santiago,1,151796,120067
2019-01-05,Coche Bebé,Bebés,Antofagasta,3,36763,26220
2019-01-05,Silla Gamer,Muebles,Santiago,1,85179,51891
2019-01-05,Notebook B,Tecnología,La Serena,1,326901,202537
2019-01-05,Silla Comer,Bebés,La Serena,1,43435,31705
2019-01-05,Microondas M,Electrohogar,Antofagasta,2,150654,90853
2019-01-05,Escritorio Pro,Muebles,Santiago,1,105623,76383
2019-01-06,Jeans Slim,Ropa,Concepción,1,16250,11523
2019-01-06,Silla Comer,Bebés,Santiago,1,46424,29773
2019-01-06,Pañales XL,Bebés,La Serena,3,42036,25549
2019-01-06,Lavadora L,Electrohogar,Santiago,2,154139,118529
2019-01-06,Microondas M,Electrohogar,Valparaíso,3,151911,94737
2019-01-06,Coche Bebé,Bebés,Antofagasta,3,50040,37380
2019-01-06,Pañales XL,Bebés,Santiago,2,42776,30529
2019-01-06,Silla Gamer,Muebles,Concepción,2,90001,64450
2019-01-06,Bicicleta MTB,Deportes,La Serena,1,70316,52595
2019-01-06,Silla Gamer,Muebles,Santiago,1,99189,75909
2019-01-06,Bicicleta MTB,Deportes,Concepción,3,63341,38142
2019-01-06,Tablet X,Tecnología,La Serena,1,308318,243575
2019-01-06,Chaqueta Invierno,Ropa,Valparaíso,3,14000,8657
2019-01-06,Polera Básica,Ropa,La Serena,3,14776,11662
2019-01-06,Tablet X,Tecnología,Antofagasta,1,329330,201389
2019-01-06,Refrigerador Y,Electrohogar,Concepción,3,167755,124334
2019-01-06,Polera Básica,Ropa,Valparaíso,2,17209,10674
2019-01-06,Bicicleta MTB,Deportes,Valparaíso,1,73725,54648
2019-01-06,Pañales XL,Bebés,Antofagasta,2,51786,34948
2019-01-07,Notebook A,Tecnología,La Serena,2,354982,247186
2019-01-07,Jeans Slim,Ropa,Concepción,2,18938,11784
2019-01-07,Silla Gamer,Muebles,Antofagasta,2,97872,59825
2019-01-07,Polera Básica,Ropa,Santiago,3,17976,12883
2019-01-07,Bicicleta MTB,Deportes,La Serena,1,55989,39510
2019-01-07,Coche Bebé,Bebés,Valparaíso,1,51518,31356
2019-01-07,Coche Bebé,Bebés,Antofagasta,3,50706,32989
2019-01-07,Silla Gamer,Muebles,Valparaíso,3,103658,76619
2019-01-07,Notebook A,Tecnología,Concepción,3,275454,180751
2019-01-07,Bicicleta MTB,Deportes,Valparaíso,2,63318,40896
2019-01-07,Polera Básica,Ropa,Santiago,3,17689,12510
2019-01-07,Notebook A,Tecnología,La Serena,1,352168,222754
2019-01-07,Zapatillas Run,Deportes,Antofagasta,2,76795,57223
2019-01-08,Balón Fútbol,Deportes,Concepción,1,57956,39541
2019-01-08,Bicicleta MTB,Deportes,Valparaíso,3,57610,41412
2019-01-08,Notebook B,Tecnología,Concepción,3,338290,207271
2019-01-08,Tablet X,Tecnología,Santiago,1,276765,213924
2019-01-08,Notebook A,Tecnología,Antofagasta,2,379580,272170
2019-01-08,Pañales XL,Bebés,Valparaíso,2,42046,27255
